Sample,Type,Pluton,Grid reference,Easting,Northing,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,Ba,Pb,Rb,Sr,Nb,Th,U,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Ho,Er,Tm,Yb,Lu,A/CNK,TZr,Eu/Eu*,K/Rb,Rb/Sr
,,,,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,
AU15,G5a,St. Austell,SW94755591,194750,55910,72.33,0.05,15.28,0.9,0.02,0.06,0.47,4.01,4.47,0.44,1.13,99.16,18,0.25,1070,19,35,3,5,23,1.38,2.31,0.36,1.27,0.28,0.02,0.23,0.24,0.04,0.14,0.03,0.24,0.04,1.24,663,0.23,35,56.32
AU16,G5a,St. Austell,SW94755591,194750,55910,72.51,0.05,15.27,1.05,0.01,0.14,0.54,4.06,4.18,0.44,1.18,99.43,18,0.25,888,46,38,3,14,21,1.06,1.88,0.27,0.98,0.23,0.02,0.21,0.26,0.05,0.17,0.03,0.27,0.04,1.25,656,0.24,39,19.3
AU17,G5a,St. Austell,SW94755591,194750,55910,71.88,0.05,15.65,1.05,0.02,0.13,0.45,3.72,4.56,0.45,1.29,99.25,63,0.25,935,60,38,3,2.5,21,0.95,1.6,0.25,0.88,0.19,0.015,0.16,0.17,0.04,0.11,0.02,0.17,0.03,1.32,660,,40,15.58
BD01,G1a,Bodmin,SX25887240,225880,72400,70.94,0.24,14.63,1.75,0.03,0.41,0.78,2.67,5.45,0.25,1.59,98.74,170,32,444,101,10,16,11,110,18,37.71,4.61,16.53,3.4,0.38,2.31,1.31,0.21,0.55,0.08,0.49,0.07,1.25,779,0.41,102,4.4
BD03,G1a,Bodmin,SX24927240,225880,72400,71.67,0.22,14.69,1.7,0.04,0.36,0.75,2.77,5.45,0.25,1.25,99.15,193,31,449,91,10,13,2.5,92,19.4,41.16,4.95,17.71,3.55,0.4,2.34,1.26,0.2,0.51,0.08,0.45,0.07,1.24,764,0.42,101,4.93
BD05,G1a,Bodmin,SX10097546,210090,75460,71.94,0.21,14.86,1.51,0.04,0.35,0.85,3.27,4.97,0.24,1.22,99.46,188,37,418,97,8,13,2.5,95,16.18,33.31,4,14.3,2.9,0.36,2.04,1.22,0.19,0.48,0.07,0.41,0.06,1.21,763,0.45,99,4.31
BD07,G1a,Bodmin,SX15288051,215280,80510,71.72,0.24,15.01,1.69,0.04,0.38,0.82,3.05,5.07,0.26,1.33,99.61,161,34,436,92,8,16,6,110,17.08,37.98,4.35,15.9,3.28,0.28,2.27,1.22,0.18,0.44,0.06,0.39,0.06,1.25,779,0.31,97,4.74
KT01,G2,Kit Hill,SX37467180,237450,71800,71.94,0.19,14.94,1.67,0.06,0.37,0.69,2.97,5.03,0.23,1.46,99.55,161,25,485,74,14,13,7,91,13.6,27.1,3.42,12.19,2.38,0.28,1.62,1.09,0.19,0.51,0.07,0.49,0.07,1.29,766,0.43,86,6.55
HD01,G2,Hingston Down,SX40987166,240980,71660,72.49,0.04,14.97,0.52,0,0.05,0.33,2.76,6.69,0.32,0.86,99.03,90,36,598,32,15,3,2.5,19,15.46,32.92,4.36,15.3,3.36,0.39,2.31,2.38,0.46,1.23,0.18,1.13,0.17,1.21,650,0.43,93,18.69
DT03,G4b,Dartmoor,SX65405756,265400,57560,73.8,0.17,13.53,1.01,0,0.2,0.61,3.59,4.49,0.23,1.03,98.66,134,26,447,55,26,14,9,40,9.1,18.05,2.31,8.23,1.87,0.11,1.51,1.34,0.23,0.61,0.09,0.6,0.09,1.14,695,0.2,83,8.13
